id;processo;0
17;5001507-93.2017.4.03.6110;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
18;5001507-93.2017.4.03.6110;"Área de Preservação Permanente"
19;1001489-52.2017.4.01.3700;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) | Processo e Procedimento (8960) | Antecipação de Tutela / Tutela Específica"
20;5000120-83.2017.4.03.6129;"DIREITO CIVIL|Responsabilidade Civil|Indenização por Dano Material|"
21;1000240-36.2017.4.01.3807;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
22;1000240-36.2017.4.01.3807;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
23;1000241-21.2017.4.01.3807;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
24;1000241-21.2017.4.01.3807;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
25;5002778-40.2017.4.03.6110;"Esbulho / Turbação / Ameaça"
26;5002778-40.2017.4.03.6110;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
27;5002779-25.2017.4.03.6110;"Esbulho / Turbação / Ameaça"
28;5002779-25.2017.4.03.6110;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
29;0006763-57.2017.8.26.0281;Cheque
30;8000896-41.2017.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Intimação|"
31;8000898-11.2017.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Intimação|"
32;8000938-90.2017.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Intimação|"
33;0840412-88.2017.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Citação|"
34;1002429-26.2017.4.01.3600;"DIREITO CIVIL|Coisas|Posse|"
35;1014683-21.2017.8.26.0037;Pagamento
36;1000261-36.2017.4.01.3702;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
37;1000261-36.2017.4.01.3702;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
38;1002852-56.2017.4.01.3900;"DIREITO CIVIL|Responsabilidade Civil|Dano Ambiental|"
39;0818266-15.2017.8.14.0301;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Partes e Procuradores|Sucumbência|Honorários Advocatícios|"
40;8000949-43.2017.8.05.0076;"DIREITO CIVIL|Pessoas Jurídicas|Associação|Assembléia|"
41;8000837-05.2017.8.05.0099;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
42;0010238-57.2012.8.20.0121;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Liquidação / Cumprimento / Execução|Obrigação de Fazer / Não Fazer|"
43;0820226-06.2017.8.14.0301;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Partes e Procuradores|Sucumbência|Honorários Advocatícios|"
44;0800452-37.2015.8.10.0150;"DIREITO CIVIL|Responsabilidade Civil|Indenização por Dano Material|"
45;0011163-98.2012.8.20.0106;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Liquidação / Cumprimento / Execução|Obrigação de Fazer / Não Fazer|"
46;8000005-07.2018.8.05.0076;"Esbulho / Turbação / Ameaça"
47;8000005-07.2018.8.05.0076;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
48;5008226-04.2017.8.13.0024;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
49;1029358-78.2015.8.26.0224;"Esbulho / Turbação / Ameaça"
50;1029358-78.2015.8.26.0224;Posse
51;0011454-59.2011.8.20.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Liquidação / Cumprimento / Execução|Obrigação de Fazer / Não Fazer|"
52;0800332-46.2018.8.10.0034;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
53;0300145-48.2018.8.24.0053;Cheque
54;0800663-88.2018.8.10.0014;"DIREITO CIVIL|Responsabilidade Civil|Indenização por Dano Material|"
55;1000492-39.2018.8.26.0294;Flora
56;1001173-84.2018.4.01.3900;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
57;1001173-84.2018.4.01.3900;"DIREITO CIVIL|Responsabilidade Civil|Dano Ambiental|"
58;1001173-84.2018.4.01.3900;"DIREITO CIVIL (899)  -  Responsabilidade Civil (10431)  -  Dano Ambiental (10438"
59;5002482-76.2018.4.04.7202;"Conselhos Regionais de Fiscalização Profissional e Afins"
60;5002482-76.2018.4.04.7202;"Dívida Ativa"
61;0000540-06.2011.8.10.0100;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Aquisição (10447"
62;0001617-23.2009.8.26.0699;"Divisão e Demarcação"
63;0800318-34.2018.4.05.8312;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
64;5124027-21.2018.8.09.0031;"Posse - Lei nº 10.406/02 (Código Civil) -"
65;0010294-17.2012.8.20.0113;"DIREITO CIVIL|Obrigações|Espécies de Contratos|Compra e Venda|"
66;0000344-98.2018.8.10.0097;"Esbulho / Turbação / Ameaça"
67;0000344-98.2018.8.10.0097;"Conflito fundiário coletivo rural"
68;1000389-10.2018.8.26.0172;"Indenização por Dano Moral"
69;1000389-10.2018.8.26.0172;"Indenização por Dano Material"
70;8000644-54.2017.8.05.0110;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Obrigação de Entregar (10670)  -  Obrigação de Fazer / Não Faze"
71;1001876-15.2018.4.01.3900;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
72;0010021-33.2012.8.20.0147;"DIREITO CIVIL|Obrigações|Adimplemento e Extinção|Pagamento|"
73;0004887-45.2017.4.03.6100;"CARTAS PRECATORIA/ROGATORIA/ORDEM"
74;0004887-45.2017.4.03.6100;"MERA CIENCIA  INTIMAÇÃO"
75;8000562-70.2018.8.05.0277;Intimação
76;8000562-70.2018.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Objetos de cartas precatórias/de ordem - Intimação"
77;0181307-40.2015.8.13.0480;"REGISTROS PÚBLICOS|"
78;0181307-40.2015.8.13.0480;"Registro de Imóveis"
79;0002405-35.2005.4.03.6104;"Esbulho / Turbação / Ameaça"
80;0002405-35.2005.4.03.6104;Posse
81;0002405-35.2005.4.03.6104;Coisas
82;0002405-35.2005.4.03.6104;"DIREITO CIVIL   PEDIDO LIMINAR"
83;5028657-34.2018.4.04.7000;"Antecipação de Tutela / Tutela Específica, Processo e Procedimento, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
84;5028657-34.2018.4.04.7000;"Intimação, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
85;5028657-34.2018.4.04.7000;"Esbulho / Turbação / Ameaça, Posse, Coisas, DIREITO CIVIL"
86;5028658-19.2018.4.04.7000;"Antecipação de Tutela / Tutela Específica, Processo e Procedimento, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
87;5028658-19.2018.4.04.7000;"Intimação, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
88;5028658-19.2018.4.04.7000;"Esbulho / Turbação / Ameaça, Posse, Coisas, DIREITO CIVIL"
89;8000564-39.2018.8.05.0051;"Registro de Imóveis"
90;0020277-83.2018.8.13.0611;Empresas
91;0020277-83.2018.8.13.0611;Sociedade
92;0020277-83.2018.8.13.0611;Dissolução
93;0020277-83.2018.8.13.0611;Civil
94;1000907-72.2018.4.01.3100;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
95;0000428-03.2018.8.24.0003;Intimação
96;0015989-30.2009.4.03.6105;"Usucapião da L 6.969/1981"
97;1001151-48.2018.8.26.0294;"Extinção da Execução"
98;1001151-48.2018.8.26.0294;"Efeito Suspensivo / Impugnação / Embargos à Execução"
99;0801771-50.2018.8.10.0048;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
100;5357555-51.2018.8.09.0164;"Finalidade - DILIGENCIA"
101;1003572-50.2018.8.26.0281;Associação
102;5124027-21.2018.8.09.0031;"Posse - Lei nº 10.406/02 (Código Civil) -"
103;0036290-61.2018.8.13.0352;"Defeito, nulidade ou anulação"
104;0036290-61.2018.8.13.0352;"Ato / Negócio Jurídico"
105;0036290-61.2018.8.13.0352;"Fatos Jurídicos"
106;0036290-61.2018.8.13.0352;Civil
107;1000219-53.2018.4.01.3313;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
108;1000219-53.2018.4.01.3313;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
109;1002997-78.2018.4.01.3900;"DIREITO CIVIL - Obrigações - Adimplemento e Extinção - Imputação do Pagamento"
110;1002997-78.2018.4.01.3900;"DIREITO PREVIDENCIÁRIO - Pedidos Genéricos Relativos aos Benefícios em Espécie - Parcelas de benefício não pagas"
111;1002997-78.2018.4.01.3900;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Obrigação de Fazer / Não Faze"
112;0007368-73.2018.8.14.0031;Liminar
113;1005655-93.2018.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
114;1005655-93.2018.4.01.3700;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
115;8001642-86.2018.8.05.0142;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Aquisição (10455)  -  Acessão (10456"
116;8001642-86.2018.8.05.0142;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Aquisição (10455"
117;0014253-86.2018.8.17.2370;"DIREITO TRIBUTÁRIO / IMPOSTOS / IPTU/ IMPOSTO PREDIAL E TERRITORIAL URBAN"
118;0802003-50.2018.8.10.0052;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
119;0843577-71.2018.8.14.0301;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
120;0843577-71.2018.8.14.0301;"9994 - Indenização por Dano Ambiental"
121;8000574-08.2018.8.05.0076;"Violação aos Princípios Administrativos"
122;0800125-45.2018.8.10.0067;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Obrigação de Fazer / Não Fazer"
123;0800125-45.2018.8.10.0067;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Medida Cautelar - Indenização do Prejuízo"
124;0024637-57.2018.4.01.3900;"DIREITO TRIBUTÁRIO (14)  -  Taxas (5956)  -  Federais (5957)  -  Taxa de Fiscalização Ambiental (5962"
125;0805051-35.2018.8.14.0301;"Esbulho / Turbação / Ameaça"
126;1003357-58.2018.8.26.0642;"Obrigação de Fazer / Não Fazer"
127;0002194-23.2018.8.14.0051;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
128;0007914-73.2007.4.03.6104;Aquisição
129;0007914-73.2007.4.03.6104;Propriedade
130;0007914-73.2007.4.03.6104;COISA
131;0007914-73.2007.4.03.6104;"USUCAPIAO DA LEI NÂº 6.969/1981"
132;0007914-73.2007.4.03.6104;"DIREITO CIVIL  QUILOMBOS DO BAIRRO DE ANDRE LOPES"
133;0007914-73.2007.4.03.6104;"ELDORADO PAULISTA"
134;1001643-57.2018.8.26.0062;"Habilitação de entidade"
135;1009619-07.2018.8.26.0292;"Esbulho / Turbação / Ameaça"
136;7012590-50.2018.8.22.0007;"DIREITO DO CONSUMIDOR"
137;0802840-20.2018.8.10.0048;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Recurso - Cabimento"
138;0866381-33.2018.8.14.0301;"10111 - Revogação/Concessão de Licença Ambiental"
139;0866381-33.2018.8.14.0301;"Revogação/Concessão de Licença Ambiental (10111)"
140;7013027-91.2018.8.22.0007;"DIREITO DO CONSUMIDOR"
141;0847751-26.2018.8.14.0301;Intimação
142;0700630-77.2018.8.02.0349;"DANO MORAL"
143;0029586-89.2018.8.13.0624;"Esbulho / Turbação / Ameaça"
144;0029586-89.2018.8.13.0624;Posse
145;0029586-89.2018.8.13.0624;Coisas
146;0029586-89.2018.8.13.0624;Civil
147;1004630-09.2018.8.26.0663;"Esbulho / Turbação / Ameaça"
148;0001983-58.2018.8.19.0047;"Dívida Ativa"
149;0001983-58.2018.8.19.0047;"Cobrança de Tributo"
150;0837052-57.2018.8.12.0001;Liminar
151;0837052-57.2018.8.12.0001;"Perdas e Danos"
152;0837052-57.2018.8.12.0001;"Multa Cominatória / Astreintes"
153;0837052-57.2018.8.12.0001;"Evicção ou Vicio Redibitório"
154;0002567-51.2018.8.04.4701;Posse
155;0875286-27.2018.8.14.0301;Agrotóxicos
156;1001349-39.2018.8.11.0024;Intimação
157;1007949-21.2018.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
158;0879052-88.2018.8.14.0301;"Dívida Ativa"
159;0000831-68.2008.8.02.0056;Posse
160;0031319-13.2016.8.19.0004;"Intimação / Notificação"
161;0700058-22.2017.8.02.0070;Liminar
162;0700058-22.2017.8.02.0070;"Obrigação de Fazer / Não Fazer"
163;0000567-45.2012.4.02.5003;"ATOS E PROCEDIMENTOS ADMINISTRATIVOS: Anulação de Processo Administrativo."
164;0001185-41.2017.8.10.0061;"Esbulho / Turbação / Ameaça"
165;0700144-59.2017.8.02.0048;Liminar
166;0700144-59.2017.8.02.0048;"Medida Cautelar"
167;0008763-33.2016.8.19.0031;Provas
168;0008763-33.2016.8.19.0031;depoimento
169;0500355-64.2017.4.02.5108;"POSSE/PROPRIEDADE DE IMOVEIS"
170;0145315-64.2017.4.02.5111;"Multas e demais Sanções - Infração Administrativa - Atos Administrativos - Direito Administrativo e outras matérias do Direito Público"
171;0145315-64.2017.4.02.5111;"Constrição/Penhora/Avaliação/Indisponibilidade de Bens - Liquidação/Cumprimento/Execução - Direito Processual Civil e do Trabalho"
172;0145315-64.2017.4.02.5111;"Bloqueio de Valores de Contas Públicas - Bens Públicos - Domínio Público - Direito Administrativo e outras matérias do Direito Público"
173;0145315-64.2017.4.02.5111;"Convênio - Licitações - Direito Administrativo e outras matérias do Direito Público"
174;0000566-60.2012.4.02.5003;"ATOS E PROCEDIMENTOS ADMINISTRATIVOS: Anulação de Processo Administrativo."
175;0000385-59.2012.4.02.5003;"POSSE/PROPRIEDADE DE IMOVEIS"
176;0000385-59.2012.4.02.5003;"ATOS E PROCEDIMENTOS ADMINISTRATIVOS: Anulação de Processo Administrativo."
177;0021678-58.2007.4.02.5101;"ATOS E PROCEDIMENTOS ADMINISTRATIVOS"
178;0021678-58.2007.4.02.5101;"PROPRIEDADE PUBLICA"
179;0021678-58.2007.4.02.5101;"POSSE/PROPRIEDADE DE IMOVEIS: PA Nº 54180.001957/2005-44"
180;0009144-22.2012.4.05.8400;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Liquidação / Cumprimento / Execução|Constrição / Penhora / Avaliação / Indisponibilidade de Bens|"
181;0001878-50.2006.8.10.0048;"Esbulho / Turbação / Ameaça"
182;0015526-35.2016.8.13.0090;Aquisição
183;0015526-35.2016.8.13.0090;Coisas
184;0015526-35.2016.8.13.0090;Propriedade
185;0015526-35.2016.8.13.0090;"Usucapião Ordinária"
186;0015526-35.2016.8.13.0090;Civil
187;0000503-47.2019.8.13.0671;"DIREITO AMBIENTAL (10110)  -  Mineração (11822"
188;8000013-76.2019.8.05.0034;"DIREITO CIVIL - Fatos Jurídicos - Ato / Negócio Jurídico - Defeito, nulidade ou anulação"
189;8000013-76.2019.8.05.0034;"DIREITO CIVIL - Pessoas Jurídicas - Associação - Eleição"
190;0048389-13.2016.8.06.0034;"Antecipação de Tutela / Tutela Específica"
191;0048389-13.2016.8.06.0034;Posse
192;0800531-95.2019.8.14.0301;"DIREITO TRIBUTÁRIO (14)  -  Dívida Ativa (6017"
193;0000599-21.2008.4.01.4000;"10423 - Anulação"
194;1000175-70.2019.4.01.3807;"DIREITO CIVIL - Empresas - Sociedade - Dissolução"
195;0039468-27.2015.4.01.3800;"4949 - Títulos de Crédito"
196;0800074-72.2019.8.14.0007;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Intimação (11782"
197;0800230-33.2019.8.10.0052;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
198;1000488-43.2019.4.01.3900;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
199;8001116-23.2019.8.05.0001;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
200;8001135-29.2019.8.05.0001;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
201;0800987-19.2019.8.14.0051;"Esbulho / Turbação / Ameaça"
202;0303685-60.2019.8.05.0001;"DIREITO CIVIL"
203;0805394-94.2019.8.14.0301;"Revogação/Concessão de Licença Ambiental"
204;0001237-68.2015.8.14.0005;Reivindicação
205;0108961-29.2019.8.06.0001;"Indenização por Dano Material"
206;0014746-33.2009.8.22.0012;"Dívida Ativa"
207;0000260-98.2018.4.01.4004;"10395 - Multas e demais Sanções"
208;8000221-81.2019.8.05.0124;"DIREITO CIVIL - Responsabilidade Civil - Indenização por Dano Material"
209;8000221-81.2019.8.05.0124;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
210;1001419-64.2019.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
211;1000252-33.2019.8.26.0062;"Habilitação de entidade"
212;8000326-84.2019.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Processo e Procedimento - Antecipação de Tutela / Tutela Específica"
213;0005953-54.2019.8.13.0611;"Atos Administrativos"
214;0005953-54.2019.8.13.0611;"Abuso de Poder"
215;0005953-54.2019.8.13.0611;Administrativo
216;0005961-31.2019.8.13.0611;"Atos Administrativos"
217;0005961-31.2019.8.13.0611;"Abuso de Poder"
218;0005961-31.2019.8.13.0611;Administrativo
219;1001434-09.2019.4.01.3902;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
220;1002548-07.2019.4.01.3700;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Medida Cautelar - Caução / Contracautela"
221;1002536-90.2019.4.01.3700;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Medida Cautelar - Indenização do Prejuízo"
222;1000184-44.2019.8.26.0172;"Indenização por Dano Moral"
223;1000184-44.2019.8.26.0172;"Irregularidade no atendimento"
224;1002563-73.2019.4.01.3700;"DIREITO CIVIL - Obrigações - Espécies de Contratos - Sistema Financeiro da Habitação"
225;1002563-73.2019.4.01.3700;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Medida Cautelar - Caução / Contracautela"
226;0800139-11.2019.4.05.8104;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
227;0009659-46.2019.8.13.0352;Citação
228;0009659-46.2019.8.13.0352;"Objetos de cartas precatórias/de ordem"
229;0009659-46.2019.8.13.0352;"PROCESSUAL CIVIL"
230;0800493-92.2019.8.14.0007;"IPVA - Imposto Sobre Propriedade de Veículos Automotores"
231;0001143-77.2019.8.26.0642;Citação
232;8000236-61.2019.8.05.0185;"DIREITO CIVIL - Obrigações - Espécies de Títulos de Crédito - Cheque"
233;0023130-55.2013.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
234;0823390-08.2019.8.14.0301;"Dano Ambiental (10438)"
235;0012207-43.2019.8.13.0611;"Liquidação / Cumprimento / Execução"
236;0012207-43.2019.8.13.0611;"Obrigação de Fazer / Não Fazer"
237;0012207-43.2019.8.13.0611;"PROCESSUAL CIVIL"
238;1001100-54.2016.8.26.0699;"Intervenção de Terceiros"
239;1001100-54.2016.8.26.0699;"Partes e Procuradores"
240;0824030-11.2019.8.14.0301;"11822 - Mineração"
241;0824030-11.2019.8.14.0301;"Mineração (11822)"
242;0800435-87.2019.8.10.0076;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
243;5003163-43.2018.4.04.7203;"Esbulho / Turbação / Ameaça"
244;5003163-43.2018.4.04.7203;"DIREITO CIVIL"
245;5003163-43.2018.4.04.7203;Posse
246;5003163-43.2018.4.04.7203;Coisas
247;0001101-66.2010.8.26.0699;"Usucapião Extraordinária"
248;1005436-82.2019.4.01.3300;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
249;1000622-12.2019.8.26.0062;"Habilitação de entidade"
250;1001500-04.2019.4.01.3315;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
251;0000778-92.2016.8.16.0161;Citação
252;1007470-82.2019.4.01.3800;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
253;1007470-82.2019.4.01.3800;"DIREITO PREVIDENCIÁRIO (195)  -  RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas (6119)  -  Reajustes e Revisões Específicos (6138)  -  Abono da Lei 8.178/91 (6153"
254;1007470-82.2019.4.01.3800;"DIREITO AMBIENTAL (10110)  -  Mineração (11822"
255;0001498-98.2016.8.10.0105;"Esbulho / Turbação / Ameaça"
256;0000278-87.2016.8.10.0130;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Atos Processuais (8893)  -  Nulidade (8919"
257;0000278-87.2016.8.10.0130;"DIREITO CIVIL (899)  -  Fatos Jurídicos (7947)  -  Ato / Negócio Jurídico (4701)  -  Defeito, nulidade ou anulação (4703"
258;0000456-63.2016.8.16.0067;Intimação
259;0000357-35.2011.8.10.0100;"Esbulho / Turbação / Ameaça"
260;0500014-97.2015.4.02.5111;"OUTROS CRIMES DO CODIGO PENAL"
261;0500014-97.2015.4.02.5111;"OUTROS CRIMES DA LEGISLACAO EXTRAVAGANTE"
262;0000967-83.2018.8.16.0134;"Esbulho / Turbação / Ameaça"
263;0003030-74.2016.4.01.3700;"10089 - Bens Públicos"
264;0000899-81.2013.8.26.0118;"Antecipação de Tutela / Tutela Específica"
265;0000899-81.2013.8.26.0118;"Nulidade ou Anulação"
266;0000899-81.2013.8.26.0118;"Bloqueio de Matrícula"
267;0000899-81.2013.8.26.0118;Defeito
268;1002191-70.2019.8.26.0281;"Nomeação de administrador provisório"
269;1004021-28.2019.4.01.3700;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
270;0000062-65.2016.8.16.0161;Posse
271;0801953-44.2019.8.10.0034;"DIREITO CIVIL - Coisas - Propriedade - Aquisição - Acessão"
272;0000928-42.2009.8.25.0008;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Medida Cautelar - Liminar"
273;1004207-51.2019.4.01.3700;"DIREITO CIVIL - Coisas - Posse"
274;1004207-51.2019.4.01.3700;"DIREITO CIVIL - Coisas - Posse - Aquisição"
275;0000671-10.2019.4.01.4004;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
276;8000799-87.2019.8.05.0142;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
277;5001409-90.2019.4.04.7119;"Multas e demais Sanções"
278;5001409-90.2019.4.04.7119;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
279;5001409-90.2019.4.04.7119;"Atos Administrativos"
280;5001409-90.2019.4.04.7119;"Infração Administrativa"
281;5001409-90.2019.4.04.7119;Licitações
282;5001409-90.2019.4.04.7119;Convênio
283;1000384-42.2019.8.26.0563;Assembléia
284;1000384-42.2019.8.26.0563;"Nomeação de administrador provisório"
285;5055805-79.2016.4.04.7100;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
286;5055805-79.2016.4.04.7100;"Intervenção do Estado na Propriedade"
287;5055805-79.2016.4.04.7100;"Desapropriação para Regularização de Comunidade Quilombola / Dec. 4887/2003"
288;5049234-92.2016.4.04.7100;"DIREITO CIVIL"
289;5049234-92.2016.4.04.7100;"Responsabilidade Civil"
290;5049234-92.2016.4.04.7100;"Dano ambiental"
291;0142178-03.2019.8.19.0001;Pagamento
292;0003405-23.2019.8.14.0031;"ANTECIPACAO DE TUTELA"
293;0003405-23.2019.8.14.0031;" Tutela Específica"
294;5008898-20.2019.4.04.7204;"DIREITO TRIBUTÁRIO"
295;5008898-20.2019.4.04.7204;"Conselhos Regionais e Afins (Anuidade)"
296;5008898-20.2019.4.04.7204;Contribuições
297;5008898-20.2019.4.04.7204;"Contribuições Corporativas"
298;1016791-80.2019.4.01.3400;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
299;0000607-17.2019.8.11.0082;"Crimes contra o Meio Ambiente e o Patrimônio Genético"
300;5002206-08.2019.4.04.7203;"Esbulho / Turbação / Ameaça"
